doi,title,year,sensors,algorithms,applications,environments,accuracy_m,accuracy_pct,accuracy_unit_original,accuracy_text_match
10.1109/EIECS67708.2025.11283182,Road Similarity-Based BEV-Satellite Image Matching for UGV Localization,2025,LiDAR; IMU; GNSS/GPS,Particle Filter,UGV; Spacecraft,Outdoor; Urban,3.41,,m,error of 3.41 m
10.1109/ICRAE56463.2022.10056172,Autonomous Guided Vehicles with Wi-Fi Localization for Smart Factory,2022,WiFi,,Multi-Robot/Swarm,,2.4,,m,error of 2.4 m
10.1109/TIM.2026.3654712,Deep Learning-Enhanced Adaptive Statistical Nonholonomic Constraint Navigation Method for GNSS-Denied Environments,2026,IMU; GNSS/GPS,Deep Learning,Spacecraft,Urban,0.12,,m,RMSE of 0.12 m
10.1109/TIM.2021.3093922,Pose-Invariant Inertial Odometry for Pedestrian Localization,2021,IMU; GNSS/GPS,,Pedestrian/PDR,,2.26,,m,accuracy of 2.26 m
10.1109/RoMoCo60539.2024.10604336,Acoustic Odometry for Wheeled Robots on Loose Sandy Terrain,2024,Camera,Deep Learning,UGV; Pedestrian/PDR,,0.005,,mm,drift of 5 mm
10.1109/ITSC57777.2023.10422075,Path-Constrained State Estimation for Rail Vehicles,2023,Camera; IMU; GNSS/GPS,Visual-Inertial Odometry,Inspection; Spacecraft,Urban,4.78,,m,Root Mean Square Error of 4.78m
10.1109/TITS.2021.3107873,G-VIDO: A Vehicle Dynamics and Intermittent GNSS-Aided Visual-Inertial State Estimator for Autonomous Driving,2022,Camera; Monocular; IMU; GNSS/GPS,VINS; Visual-Inertial Odometry,Autonomous Car; Spacecraft,,0.3,,cm,RMSE of less than 30 cm
10.1109/ICSPCC59353.2023.10400323,Research on Autonomous Localization Method of Coal Mine Underground Mobile Robot Based on Multi sensor Fusion,2023,LiDAR,EKF; Particle Filter,UGV,Tunnel/Underground; Real-World,0.027,,m,error of 0.027m
10.1109/DCABES50732.2020.00026,A neural network approach to indoor mobile robot localization,2020,LiDAR; Wheel Encoder,Deep Learning,UGV,Indoor,0.06,,cm,ate is within 6cm
10.1109/TCOMM.2018.2874941,OpArray: Exploiting Array Orientation for Accurate Indoor Localization,2019,WiFi,,Generic/Other,Indoor,0.5,,m,localization error of 0.5 m
10.1109/UPINLBS.2018.8559713,"Unsupervised indoor localization based on Smartphone Sensors, iBeacon and Wi-Fi",2018,WiFi; BLE/Bluetooth,,Pedestrian/PDR,Indoor,1.1,,meters,localization error is about 1.1 meters
10.1109/JSEN.2024.3372648,Improved Vibration Localization Algorithm for Multiple Intrusions Based on Phase Spectrum Estimation in Distributed Mach–Zender/Sagnac Optical Fiber Sensing System,2024,,,Multi-Robot/Swarm,Outdoor,20.0,,m,localization error is less than 20 m
10.1109/JSEN.2026.3679747,LUNA: A Low-SNR Acoustic Localization and Orientation Framework for UAVs,2026,LiDAR; Camera; UWB; Ultrasonic,,UAV/Drone; Spacecraft,Indoor; Real-World,0.089,,m,position error of 0.089 m
10.1109/ICIT58233.2024.10540970,An Acoustic Indoor Localization Method Based on Directional Variability for Mobile Robot,2024,,,UGV,Indoor,0.06,,cm,accuracy of 6cm
10.1109/SPAWC51304.2022.9833973,User-Side Indoor Localization Using CSI Fingerprinting,2022,WiFi,Deep Learning,Generic/Other,Indoor; Simulation,0.6,,cm,error of 60cm
10.1109/JSEN.2021.3101121,WeCo-SLAM: Wearable Cooperative SLAM System for Real-Time Indoor Localization Under Challenging Conditions,2022,LiDAR; Camera; IMU; Radar; GNSS/GPS,Visual-Inertial Odometry,Pedestrian/PDR; Multi-Robot/Swarm; Search & Rescue,Indoor; Outdoor,,0.48,%,Error of 0.48%
10.1109/TMC.2020.3013113,Smartphone Based Indoor Path Estimation and Localization Without Human Intervention,2022,WiFi; BLE/Bluetooth,,Pedestrian/PDR,Indoor; Real-World,1.42,,m,localization error of 1.42 m
10.1109/TITS.2022.3202139,Radar-Based Multisensor Fusion for Uninterrupted Reliable Positioning in GNSS-Denied Environments,2022,LiDAR; Camera; IMU; Radar; GNSS/GPS,EKF,Autonomous Car; Spacecraft,Indoor,2.0,,m,2m error
10.1109/LRA.2021.3058935,Semantic Histogram Based Graph Matching for Real-Time Multi-Robot Global Localization in Large Scale Environment,2021,Camera,,Multi-Robot/Swarm,,,95.0,%,accuracy of 95%
10.1109/ICAIIC68212.2026.11454406,Pose360: Metric-Scale Visual Odometry by Grounding Learned Features with LiDAR Depth,2026,LiDAR; Camera; Radar,Visual Odometry,Generic/Other,Real-World,0.177,,m,0.177 m RMSE
10.1109/INFOCOM41043.2020.9155463,RF Backscatter-based State Estimation for Micro Aerial Vehicles,2020,Camera; IMU; GNSS/GPS,,UAV/Drone; Pedestrian/PDR; Inspection; Indoor Robot,Indoor,0.34,,cm,accuracy of 34 cm
10.1109/EDSSC64492.2025.11183251,Underwater Acoustic Target Localization Method Based on Frequency-Domain Feature Enhancement,2025,,Deep Learning,AUV/Underwater,Indoor; Underwater,0.43,,m,error of 0.43 m
10.1109/TAES.2026.3710658,Siam-VO: A Siamese Network-Based Monocular Visual Odometry for High-Altitude Low-Texture Environments,2026,Camera; Monocular; Barometer; Magnetometer; GNSS/GPS,Visual Odometry,UAV/Drone,,5.14,,m,RMSE of 5.14 m
10.1109/TITS.2025.3645051,Toward State Estimation Algorithms in Cooperative Positioning: A Comprehensive Framework Design and Its Realization,2026,IMU; Ultrasonic,,Multi-Robot/Swarm; Search & Rescue,Urban; Real-World,10.27,,m,RMSE of 10.27 m
10.1109/ICL-GNSS.2018.8440905,Comparing 433 and 868 MHz Active RFID for Indoor Localization Using Multi-Wall Model,2018,,,Spacecraft,Indoor,8.27,,m,error of 8.27 m
10.1109/TMC.2026.3654960,Hierarchical Constraint Fusion for Robust 3D Rigid Body Localization Using UWB Networks,2026,UWB,,UGV; Multi-Robot/Swarm,Indoor,0.31,,m,accuracy of 0.31 m
10.1109/APMC52720.2021.9662014,A Phase-Based Indoor Localization Algorithm Using EKF for Passive RFID Tags,2021,,EKF,Generic/Other,Indoor,0.0935,,cm,localization error of 9.35 cm
10.1109/ISCAS46773.2023.10181678,Battery States Co-estimation Methodology Using Dual Square Root Unscented Kalman Filter,2023,,EKF; UKF,Spacecraft,,,0.404,%,error is 0.404 %
10.1109/ICCEIC64099.2024.10775756,Research on Key Technologies of Visual Semantic Segmentation and Localization for Autonomous Vehicles,2024,Camera; Monocular,Deep Learning,Multi-Robot/Swarm,Indoor,0.07,,cm,localization error within 7 cm
10.1109/ICAIRC64177.2024.10900118,A Global Initial Pose Estimation Method for Mobile Robots Based on Magnetic Matching and 2D LiDAR Features,2024,LiDAR; Radar; GNSS/GPS,,UGV; Inspection; Spacecraft,Indoor,0.164,,m,accuracy of 0.164 m
10.1109/TII.2024.3361092,"preciseSLAM: Robust, Real-Time, LiDAR–Inertial–Ultrasonic Tightly-Coupled SLAM With Ultraprecise Positioning for Plant Factories",2024,LiDAR; IMU; Radar; Ultrasonic; GNSS/GPS,Factor Graph,Generic/Other,Indoor,0.054000000000000006,,cm,accuracy of 5.4 cm
10.1109/ACCESS.2019.2941596,Continuous TOA Measurement-Based Single-Anchor Indoor Localization,2025,,,Generic/Other,Indoor,0.3,,m,localization error is less than 0.3m
10.1109/TIM.2025.3619247,Clustering Combined Weighted TDoA Localization for Outlier Suppression,2025,,,Generic/Other,Indoor; Simulation,0.36,,m,0.36 m accuracy
